,Spectral entropy,Spectral entropy,Effective rank,Effective rank,Angular alignment,Angular alignment,Selectivity index,Selectivity index,Spectral sparsity,Spectral sparsity,Perturbation robustness,Perturbation robustness
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
epoch,,,,,,,,,,,,
67,3.0935085,0.4727186,24.154163,9.518423,-0.18525188,0.55397284,0.99854016,0.00015635956,0.098958336,0.09455671,4.935802483396756e-08,2.6733710388792702e-08
68,3.0914392,0.47361237,24.11185,9.515429,-0.20572916,0.5374024,0.9985381,0.00015748064,0.100260414,0.06374625,5.022170607160703e-08,2.3796946687718538e-08
69,3.0894833,0.47449785,24.072567,9.514875,-0.19618976,0.5458447,0.9985344,0.00016490772,0.1171875,0.089324564,5.187215024182734e-08,2.6102618161724526e-08
70,3.0875263,0.47531322,24.03295,9.51415,-0.19222336,0.5517505,0.99853563,0.00016083861,0.1015625,0.07640467,5.108847017654128e-08,2.907203895192118e-08
71,3.0855422,0.47612953,23.992725,9.51294,-0.20136619,0.5561351,0.99853235,0.00016441508,0.110677086,0.08495599,4.910728151896748e-08,2.3709912466565133e-08
72,3.0837286,0.47688672,23.956244,9.513037,-0.18700498,0.5537236,0.9985299,0.00016451394,0.122395836,0.07937655,4.857300994753899e-08,2.590917188795631e-08
73,3.0819137,0.47774354,23.920616,9.514771,-0.19569236,0.55207354,0.9985305,0.00016743377,0.10416667,0.067185484,5.419952714413867e-08,2.8683903806828852e-08
74,3.080137,0.47841367,23.884312,9.512503,-0.22454607,0.53384453,0.9985251,0.00017180225,0.119791664,0.08522166,5.141400549746322e-08,2.9577928573276457e-08
75,3.0784001,0.4791795,23.850174,9.514978,-0.22669214,0.5366686,0.99852633,0.00017146162,0.10416667,0.07978559,5.496807464755449e-08,2.834175938354235e-08
76,3.0766788,0.47986037,23.815475,9.514276,-0.22580802,0.53366214,0.99852365,0.0001725007,0.0859375,0.056352787,5.5487497818695886e-08,3.0833223408573863e-08
77,3.075118,0.48050195,23.784336,9.514454,-0.20150064,0.54143876,0.9985204,0.00017576468,0.106770836,0.08328992,5.321930762747229e-08,2.9812004242459426e-08
78,3.0734158,0.48116305,23.750265,9.514942,-0.19162016,0.5460723,0.99852,0.00017712865,0.1015625,0.0679882,5.210679410172503e-08,2.661822686020135e-08
79,3.0717525,0.48168954,23.716076,9.513257,-0.20021763,0.54119486,0.9985192,0.00017880775,0.096354164,0.07448705,5.65748134451205e-08,2.9627888931855187e-08
80,3.0701036,0.4823212,23.683136,9.513642,-0.19765478,0.54155743,0.99851537,0.0001808336,0.076822914,0.054708164,5.6187652919259534e-08,2.8550215753678415e-08
81,3.0685644,0.482874,23.652159,9.513417,-0.19725788,0.5421177,0.9985153,0.00018231774,0.108072914,0.06597679,5.469358577148142e-08,2.799524214071539e-08
